doc_id,issue_date,title,source_url,pdf_url,pdf_file,status,text_chars
01_2021_Bezpieczna_domowa_sie_WI-Fi,01/2021,Bezpieczna domowa sieć WI-Fi,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt96a16bdc51598c7b/604913472d310e5a62e19873/OUCH!_Jan_2021_-_Securing_Wi-Fi_at_Home_v3-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt96a16bdc51598c7b/604913472d310e5a62e19873/OUCH!_Jan_2021_-_Securing_Wi-Fi_at_Home_v3-Polish.pdf,pdfs/01_2021_OUCH__Jan_2021_-_Securing_Wi-Fi_at_Home_v3-Polish.pdf,ok,4826
12_2020_Cyfrowa_luka_pokoleniowa,12/2020,Cyfrowa luka pokoleniowa,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltb384d47d00928e04/60490ca0c7198e3af48f8de3/OUCH!_Dec_2020_-_Securing_the_Grandparents_v3-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltb384d47d00928e04/60490ca0c7198e3af48f8de3/OUCH!_Dec_2020_-_Securing_the_Grandparents_v3-Polish.pdf,pdfs/12_2020_OUCH__Dec_2020_-_Securing_the_Grandparents_v3-Polish.pdf,ok,5793
11_2020_Ataki_socjotechniczne,11/2020,Ataki socjotechniczne,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0992c890a67c09cb/6048ff141322a9094ddefe07/OUCH!_Nov_2020_-_Social_Engineering_v.3-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0992c890a67c09cb/6048ff141322a9094ddefe07/OUCH!_Nov_2020_-_Social_Engineering_v.3-Polish.pdf,pdfs/11_2020_OUCH__Nov_2020_-_Social_Engineering_v.3-Polish.pdf,ok,4955
10_2020_Fake_News,10/2020,Fake News,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltf69cd62a945056c1/6047fdfffef76d094c703126/OUCH!_October_2020_-_Fake_News_(Jason_Jordan)_v3-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltf69cd62a945056c1/6047fdfffef76d094c703126/OUCH!_October_2020_-_Fake_News_(Jason_Jordan)_v3-Polish.pdf,pdfs/10_2020_OUCH__October_2020_-_Fake_News__Jason_Jordan__v3-Polish.pdf,ok,5184
09_2020_Bezpiecze_stwo_dzieci_online,09/2020,Bezpieczeństwo dzieci online,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltc3cb3d10df6f18fc/6047fb50fef76d094c703112/September_2020_-_Securing_Kids_Online_(Chris_Pizor)_v4-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltc3cb3d10df6f18fc/6047fb50fef76d094c703112/September_2020_-_Securing_Kids_Online_(Chris_Pizor)_v4-Polish.pdf,pdfs/09_2020_September_2020_-_Securing_Kids_Online__Chris_Pizor__v4-Polish.pdf,ok,5445
08_2020_Bezpiecze_stwo_wideokonferencji,08/2020,Bezpieczeństwo wideokonferencji,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt3dc9f42b753d1fb2/6047f3697d801145b7fb9655/OUCH!_August_2020_-_Videoconferencing_Safely_and_Securely_v3-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt3dc9f42b753d1fb2/6047f3697d801145b7fb9655/OUCH!_August_2020_-_Videoconferencing_Safely_and_Securely_v3-Polish.pdf,pdfs/08_2020_OUCH__August_2020_-_Videoconferencing_Safely_and_Securely_v3-Polish.pdf,ok,5450
07_2020_Ransomware,07/2020,Ransomware,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt702fc2ba8a484a2c/6047eec0acf0d53d70c5d301/OUCH!_July_2020_-_Ransomware_v4-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt702fc2ba8a484a2c/6047eec0acf0d53d70c5d301/OUCH!_July_2020_-_Ransomware_v4-Polish.pdf,pdfs/07_2020_OUCH__July_2020_-_Ransomware_v4-Polish.pdf,ok,5677
06_2020_Projektowanie_bezpiecze_stwa_sieci_domowej,06/2020,Projektowanie bezpieczeństwa sieci domowej,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt4d152ae8fc84b033/6047c75ee122b53af5511ea9/OUCH!_June_2020_-_Creating_a_Cyber_Secure_Home_v3-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt4d152ae8fc84b033/6047c75ee122b53af5511ea9/OUCH!_June_2020_-_Creating_a_Cyber_Secure_Home_v3-Polish.pdf,pdfs/06_2020_OUCH__June_2020_-_Creating_a_Cyber_Secure_Home_v3-Polish.pdf,ok,5316
05_2020_Moc_aktualizacji,05/2020,Moc aktualizacji,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt56ff892c72cf5af8/604a8bae3c41f30bce484fda/OUCH!-May-2020_v3-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt56ff892c72cf5af8/604a8bae3c41f30bce484fda/OUCH!-May-2020_v3-Polish.pdf,pdfs/05_2020_OUCH_-May-2020_v3-Polish.pdf,ok,5228
04_2020_Mened_er_hase,04/2020,Menedżer haseł,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltee798afb2a08b806/604a692cacf0d53d70c5e0a6/202004-OUCH-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltee798afb2a08b806/604a692cacf0d53d70c5e0a6/202004-OUCH-Polish.pdf,pdfs/04_2020_202004-OUCH-Polish.pdf,ok,5993
03_2020_Wiosenne_porz_dki,03/2020,Wiosenne porządki,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltaa37bb6bc532b041/60492a50f9638443346d6b3d/202003-OUCH-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltaa37bb6bc532b041/60492a50f9638443346d6b3d/202003-OUCH-Polish.pdf,pdfs/03_2020_202003-OUCH-Polish.pdf,ok,6225
02_2020_Prywatno_serwis_w_spo_eczno_ciowych,02/2020,Prywatność serwisów społecznościowych,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt7109e61591c3d512/604906727b7aea45bd9f73cc/202002-OUCH-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt7109e61591c3d512/604906727b7aea45bd9f73cc/202002-OUCH-Polish.pdf,pdfs/02_2020_202002-OUCH-Polish.pdf,ok,5595
01_2020_Cyfrowa_spu_cizna,01/2020,Cyfrowa spuścizna,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt801e959deab4f6cf/6048034dfef76d094c70314c/202001-OUCH-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt801e959deab4f6cf/6048034dfef76d094c70314c/202001-OUCH-Polish.pdf,pdfs/01_2020_202001-OUCH-Polish.pdf,ok,6101
12_2019_Oszustwa_bazuj_ce_na_wiadomo_ciach_tekstowych,12/2019,Oszustwa bazujące na wiadomościach tekstowych,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt50894273174250c8/6047f2387b7aea45bd9f6d13/201912-OUCH-December-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt50894273174250c8/6047f2387b7aea45bd9f6d13/201912-OUCH-December-Polish.pdf,pdfs/12_2019_201912-OUCH-December-Polish.pdf,ok,5639
11_2019_Bezpieczne_zakupy_w_sieci,11/2019,Bezpieczne zakupy w sieci,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt961b218e051d26ad/6047dd522d310e5a62e191a6/201911-OUCH-November-Polish-P1_0.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt961b218e051d26ad/6047dd522d310e5a62e191a6/201911-OUCH-November-Polish-P1_0.pdf,pdfs/11_2019_201911-OUCH-November-Polish-P1_0.pdf,ok,5565
10_2019_Cztery_proste_kroki_dla_w_asnego_bezpiecze_stwa,10/2019,Cztery proste kroki dla własnego bezpieczeństwa,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt4ac073bae67ee5ab/6046b71bc7198e3af48f813a/201910-OUCH-October-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt4ac073bae67ee5ab/6046b71bc7198e3af48f813a/201910-OUCH-October-Polish.pdf,pdfs/10_2019_201910-OUCH-October-Polish.pdf,ok,5882
09_2019_Oszustwa_za_po_rednictwem_medi_w_spo_eczno_ciowych,09/2019,Oszustwa za pośrednictwem mediów społecznościowych,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt5720932035a85f94/6046b448f9638443346d5c72/201909-OUCH-September-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt5720932035a85f94/6046b448f9638443346d5c72/201909-OUCH-September-Polish.pdf,pdfs/09_2019_201909-OUCH-September-Polish.pdf,ok,4764
08_2019_Czy_robisz_kopie_zapasowe,08/2019,Czy robisz kopie zapasowe?,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltc7995498e55ae3a1/6047b5845aedc043351b6fad/201908-OUCH-August-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltc7995498e55ae3a1/6047b5845aedc043351b6fad/201908-OUCH-August-Polish.pdf,pdfs/08_2019_201908-OUCH-August-Polish.pdf,ok,6360
07_2019_Wirtualne_Sieci_Prywatne_VPN,07/2019,Wirtualne Sieci Prywatne (VPN),https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0a275da458288962/6047b4f63c41f30bce483efd/201907-OUCH-July-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/blt0a275da458288962/6047b4f63c41f30bce483efd/201907-OUCH-July-Polish.pdf,pdfs/07_2019_201907-OUCH-July-Polish.pdf,ok,5545
06_2019_Dark_Web,06/2019,Dark Web,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltbab310e9239e9368/6047b463a8c6585cda24cac2/201906-OUCH-June-Polish.pdf,https://assets.contentstack.io/v3/assets/blt36c2e63521272fdc/bltbab310e9239e9368/6047b463a8c6585cda24cac2/201906-OUCH-June-Polish.pdf,pdfs/06_2019_201906-OUCH-June-Polish.pdf,ok,5745
